6.5155,-1.031,1.1315,-4.3889,-1.2967,-0.48143,2.8853,0.68298,0.86413,-2.2563
-1.031,22.494,10.076,-11.27,-9.2044,-3.244,-8.9294,6.765,1.2935,9.7687
1.1315,10.076,22.997,-16.252,-6.0207,3.7964,-12.56,8.241,-6.1943,2.5044
-4.3889,-11.27,-16.252,33.007,5.7667,4.0601,4.7702,-8.347,-0.9735,-10.303
-1.2967,-9.2044,-6.0207,5.7667,8.8945,1.8995,0.89032,-6.6966,-5.364,-1.1813
-0.48143,-3.244,3.7964,4.0601,1.8995,4.4359,-3.2724,-1.6232,-3.9433,-3.164
2.8853,-8.9294,-12.56,4.7702,0.89032,-3.2724,11.83,-2.409,7.5564,-3.1655
0.68298,6.765,8.241,-8.347,-6.6966,-1.6232,-2.409,7.604,0.14852,0.037997
0.86413,1.2935,-6.1943,-0.9735,-5.364,-3.9433,7.5564,0.14852,22.618,2.219
-2.2563,9.7687,2.5044,-10.303,-1.1813,-3.164,-3.1655,0.037997,2.219,15.816
